,Name,Position,Team,Pts,GWs,Mins Pts,G,A,CS,YC,RC,OG,PenMiss,Saves Pts,PenSave,Bonus,2GC
403,Alexander Isak,FWD,Real Sociedad,8,29,4,1,0,0,0,0,0,0,0,0,0,0
404,Roberto Jimenez,GK,Real Valladolid,0,29,0,0,0,0,0,0,0,0,0,0,0,0
405,Jordi Masip,GK,Real Valladolid,92,29,38,0,0,5,3,0,0,0,17,3,14,9
406,Sergio Asenjo,GK,Real Valladolid,29,29,20,0,0,1,0,0,0,0,9,0,3,7
407,Adrian Gomez,DEF,Real Valladolid,0,29,0,0,0,0,0,0,0,0,0,0,0,0
408,Luis Perez,DEF,Real Valladolid,34,29,23,0,1,3,2,0,0,0,0,0,4,6
409,Joaquin Fernandez,DEF,Real Valladolid,59,29,40,1,0,5,3,0,0,0,0,0,6,10
410,Sergio Escudero,DEF,Real Valladolid,37,29,24,0,0,4,3,0,0,0,0,0,4,4
411,Javi Sanchez,DEF,Real Valladolid,59,29,45,1,0,6,10,0,0,0,0,0,5,11
412,Lucas Olaza,DEF,Real Valladolid,40,29,31,0,1,4,3,0,0,0,0,0,0,7
413,Jawad El Yamiq,DEF,Real Valladolid,33,29,30,1,0,1,0,1,0,0,0,0,4,8
414,Victor Garcia,MID,Real Valladolid,0,29,0,0,0,0,0,0,0,0,0,0,0,0
415,Kike Perez,MID,Real Valladolid,64,29,46,1,2,5,6,0,0,0,0,0,8,0
416,Alvaro Aguado,MID,Real Valladolid,50,29,36,1,2,2,3,0,0,0,0,0,4,0
417,Ivan Sanchez,MID,Real Valladolid,45,29,32,1,0,5,0,0,0,0,0,0,3,0
418,Moha Moukhliss,MID,Real Valladolid,0,29,0,0,0,0,0,0,0,0,0,0,0,0
419,Toni Villa,MID,Real Valladolid,51,29,35,1,3,4,2,0,0,0,0,0,0,0
420,Oscar Plano,MID,Real Valladolid,56,29,45,1,1,6,3,0,0,0,0,0,0,0
421,Roque Mesa,MID,Real Valladolid,45,29,35,2,1,4,8,1,0,0,0,0,4,0
422,Anuar,MID,Real Valladolid,12,29,5,1,0,0,1,0,0,0,0,0,3,0
