,Name,Slug,Position,Team,Team Slug,Pts,GWs,Mins Pts,G,A,CS,YC,RC,OG,2GC,PenMiss,Saves Pts,PenSave,Bonus
470,Alex Suárez,alex-suarez,D,Las Palmas,las-palmas,70,33,50,1,0,5,7,0,0,4,0,0,0,5
471,Alejandro Palanca,alejandro-palanca,D,Las Palmas,las-palmas,0,33,0,0,0,0,0,0,0,0,0,0,0,0
472,Álvaro Valles,alvaro-valles,G,Las Palmas,las-palmas,122,33,61,0,0,7,2,1,0,8,0,22,1,19
473,Alex Domínguez,alex-dominguez,G,Las Palmas,las-palmas,0,33,0,0,0,0,0,0,0,0,0,0,0,0
474,Sávio,savio,M,Girona FC,girona-fc,155,33,63,9,8,10,5,0,0,10,0,0,0,18
475,Cristhian Stuani,cristhian-stuani,F,Girona FC,girona-fc,75,33,34,8,2,2,6,0,0,1,0,0,0,9
476,Manu Vallejo,manu-vallejo,F,Girona,girona,0,33,0,0,0,0,0,0,0,0,0,0,0,0
477,Pau Víctor,pau-victor,F,Barcelona,barcelona,0,33,0,0,0,0,0,0,0,0,0,0,0,0
478,Pablo Torre,pablo-torre,M,Girona FC,girona-fc,36,33,28,0,3,0,1,0,0,4,0,0,0,0
479,Viktor Tsygankov,viktor-tsygankov,M,Girona FC,girona-fc,100,33,45,6,4,6,0,0,0,5,0,0,0,7
480,Aleix García,aleix-garcia,M,Girona FC,girona-fc,124,33,63,3,6,11,3,1,0,12,0,0,0,23
481,Yangel Herrera,yangel-herrera,M,Girona FC,girona-fc,71,33,43,4,0,8,8,0,0,5,0,0,0,8
482,Yan Couto,couto-yan,D,Girona FC,girona-fc,99,33,54,1,8,7,8,0,0,11,0,0,0,6
483,Toni Villa,toni-villa,M,Girona FC,girona-fc,1,33,1,0,0,0,0,0,0,0,0,0,0,0
484,Borja García,borja-garcia,M,Girona FC,girona-fc,0,33,0,0,0,0,0,0,0,0,0,0,0,0
485,Ibrahima Kébé,ibrahima-kebe,M,Girona FC,girona-fc,1,33,2,0,0,0,1,0,0,0,0,0,0,0
486,Oscar Ureña,oscar-urena,M,Girona,girona,0,33,0,0,0,0,0,0,0,0,0,0,0,0
487,Silvi Clúa,silvi-clua,M,Girona FC,girona-fc,1,33,1,0,0,0,0,0,0,0,0,0,0,0
488,Daley Blind,daley-blind,D,Girona FC,girona-fc,106,33,57,2,2,10,5,0,0,9,0,0,0,5
489,Miguel Gutiérrez,miguel-gutierrez,D,Girona FC,girona-fc,125,33,62,1,6,12,4,0,0,11,0,0,0,6
490,Arnau Martínez,arnau-martinez,D,Girona FC,girona-fc,50,33,30,0,2,5,4,0,0,2,0,0,0,0
491,Alexander Callens,alexander-callens,D,Girona,girona,0,33,0,0,0,0,0,0,0,0,0,0,0,0
492,Santiago Bueno,santiago-bueno,D,Girona,girona,0,33,0,0,0,0,0,0,0,0,0,0,0,0
493,Bernardo Espinosa,bernardo-espinosa,D,Girona FC,girona-fc,2,33,2,0,0,0,0,0,0,0,0,0,0,0
494,David López,david-lopez,D,Girona FC,girona-fc,80,33,39,3,0,7,3,0,0,6,0,0,0,4
495,Valery Fernández,valery-fernandez,D,Girona FC,girona-fc,42,33,24,3,0,1,1,0,0,3,0,0,0,0
496,Juanpe,juanpe,D,Girona FC,girona-fc,18,33,19,0,0,1,4,0,0,4,0,0,0,3
497,Eric Monjonell,eric-monjonell,D,Girona FC,girona-fc,0,33,0,0,0,0,0,0,0,0,0,0,0,0
498,Marc Aznar,marc-aznar,D,Girona FC,girona-fc,0,33,0,0,0,0,0,0,0,0,0,0,0,0
499,Paulo Gazzaniga,paulo-gazzaniga,G,Girona FC,girona-fc,143,33,66,0,0,11,2,0,0,12,0,22,1,20
500,Toni Fuidias,toni-fuidias,G,Girona FC,girona-fc,0,33,0,0,0,0,0,0,0,0,0,0,0,0
501,Juan Carlos,juan-carlos,G,Girona FC,girona-fc,0,33,0,0,0,0,1,0,0,0,0,0,0,0
502,Famara Diédhiou,famara-diedhiou,F,Granada,granada,12,33,8,0,1,0,1,0,0,0,0,0,0,2
503,Myrto Uzuni,myrto-uzuni,F,Granada,granada,107,33,56,12,1,5,3,0,0,15,1,0,0,5
504,José Callejón,jose-callejon,F,Granada,granada,32,33,29,0,1,2,0,0,0,4,0,0,0,0
505,Shon Weissman,shon-weissman,F,Granada,granada,5,33,5,0,0,0,0,0,0,0,0,0,0,0
506,Alberto Perea,alberto-perea,F,Granada,granada,2,33,2,0,0,0,0,0,0,0,0,0,0,0
507,Antoñín,antonin,F,Granada,granada,0,33,0,0,0,0,0,0,0,0,0,0,0,0
508,Njegoš Petrović,njegos-petrovic,M,Granada,granada,9,33,9,0,0,0,0,0,0,0,0,0,0,0
509,Antonio Puertas,antonio-puertas,M,Granada,granada,30,33,32,0,2,0,3,1,0,4,1,0,0,0
510,Alberto Soro,soro-alberto,M,Granada,granada,1,33,1,0,0,0,0,0,0,0,0,0,0,0
511,Óscar Melendo,oscar-melendo,M,Granada,granada,35,33,35,0,0,2,2,0,0,6,0,0,0,0
512,Yann Bodiger,yann-bodiger,M,Granada,granada,0,33,0,0,0,0,0,0,0,0,0,0,0,0
513,Sergio Ruiz Alonso,sergio-ruiz-alonso,M,Granada,granada,73,33,54,0,4,6,7,0,0,10,0,0,0,8
514,Víctor Meseguer,victor-meseguer,M,Granada,granada,0,33,0,0,0,0,0,0,0,0,0,0,0,0
515,Bryan Zaragoza,bryan-zaragoza,M,Granada,granada,89,33,39,7,2,2,5,0,0,10,0,0,0,12
516,Isma Ruiz,isma-ruiz,M,Granada,granada,0,33,0,0,0,0,0,0,0,0,0,0,0,0
517,Jesús Vallejo,jesus-vallejo,D,Granada,granada,3,33,5,0,0,0,1,0,0,1,0,0,0,0
518,Alpha Dionkou,alpha-dionkou,D,Granada,granada,0,33,0,0,0,0,0,0,0,0,0,0,0,0
519,Ricard Sánchez,ricard-sanchez,D,Granada,granada,62,33,53,3,0,3,8,0,0,14,0,0,0,1
520,Carlos Neva,neva-carlos,D,Granada,granada,87,33,64,0,3,6,3,0,0,16,0,0,0,9
521,Víctor Díaz,victor-diaz,D,Granada,granada,3,33,6,0,0,0,1,0,0,2,0,0,0,0
522,Miguel Rubio,miguel-rubio,D,Granada,granada,36,33,29,1,0,3,4,0,0,7,0,0,0,0
523,Ignasi Miquel,ignasi-miquel,D,Granada,granada,73,33,63,1,1,5,6,0,0,18,0,0,0,5
524,Raúl Torrente,raul-torrente,D,Granada,granada,19,33,23,0,0,1,2,0,1,4,0,0,0,0
525,Pepe Sánchez,pepe-sanchez,D,Granada,granada,0,33,0,0,0,0,0,0,0,0,0,0,0,0
526,André Ferreira,andre-ferreira,G,Granada,granada,33,33,28,0,0,0,1,0,0,8,0,10,0,4
527,Isco,isco,M,Real Betis,real-betis,133,33,54,7,5,10,10,0,0,5,0,0,0,29
528,Joaquín,joaquin,M,Real Betis,real-betis,0,33,0,0,0,0,0,0,0,0,0,0,0,0
529,Chadi Riad,chadi-riad,D,Real Betis,real-betis,49,33,39,0,0,4,1,0,0,5,0,0,0,0
530,Marc Bartra,marc-bartra,D,Real Betis,real-betis,2,33,5,0,0,0,1,0,0,2,0,0,0,0
531,Lamine Yamal,lamine-yamal,F,Barcelona,barcelona,88,33,48,4,3,5,3,0,0,8,0,0,0,18
532,Jorge de Frutos,jorge-de-frutos,M,Rayo Vallecano,rayo-vallecano,56,33,41,1,0,7,0,0,0,4,0,0,0,3
533,Kike Pérez,kike-perez,M,Rayo Vallecano,rayo-vallecano,28,33,28,1,0,2,7,0,0,3,0,0,0,0
534,Diego Mendez,mendez-diego,M,Rayo Vallecano B,rayo-vallecano-b,1,33,1,0,0,0,0,0,0,0,0,0,0,0
535,Dani Cárdenas,dani-cardenas,G,Rayo Vallecano,rayo-vallecano,0,33,0,0,0,0,0,0,0,0,0,0,0,0
536,Alexander Sørloth,alexander-sorloth,F,Villarreal,villarreal,140,33,48,17,4,4,3,0,0,10,0,0,0,15
537,Andrés Ferrari,andres-ferrari,F,Villarreal B,villarreal-b,0,33,0,0,0,0,0,0,0,0,0,0,0,0
538,Dani Requena,dani-requena,M,Villarreal,villarreal,0,33,0,0,0,0,0,0,0,0,0,0,0,0
539,Rodri Alonso,rodri-alonso,M,Villarreal,villarreal,0,33,0,0,0,0,0,0,0,0,0,0,0,0
540,Matteo Gabbia,matteo-gabbia,D,Villarreal,villarreal,14,33,12,0,0,2,2,0,0,4,0,0,0,0
541,Lanchi,lanchi,D,Villarreal,villarreal,0,33,0,0,0,0,0,0,0,0,0,0,0,0
542,Dani Sancho,dani-sancho,F,Osasuna B,osasuna-b,0,33,0,0,0,0,0,0,0,0,0,0,0,0
543,Jorge Herrando,herrando-jorge,D,Osasuna,osasuna,33,33,27,0,0,4,3,0,0,7,0,0,0,0
544,Carl Starfelt,carl-starfelt,D,Celta Vigo,celta-vigo,57,33,41,1,0,3,2,0,0,6,0,0,0,6
545,André Silva,andre-silva,F,Real Sociedad,real-sociedad,27,33,20,2,0,1,1,0,0,2,0,0,0,0
546,Alex Lebarbier,alex-lebarbier,M,Real Sociedad,real-sociedad,0,33,0,0,0,0,0,0,0,0,0,0,0,0
