,Name,Position,Team,Pts,GWs,Mins Pts,G,A,CS,YC,RC,OG,PenMiss,Saves Pts,PenSave,Bonus,2GC
564,Brian Ocampo,MID,Cadiz,48,38,31,1,1,8,2,0,0,0,0,0,3,0
565,Theo Bongonda,FWD,Cadiz,81,38,51,4,3,12,2,0,0,0,0,0,7,0
566,Edinson Cavani,FWD,Valencia,66,38,41,5,2,0,6,0,0,1,0,0,7,0
567,Marcos Alonso,DEF,FC Barcelona,53,38,33,1,0,5,3,0,0,0,0,0,0,3
568,Hector Bellerin,DEF,FC Barcelona,8,38,4,0,0,1,0,0,0,0,0,0,0,0
569,Ander Herrera,MID,Athletic Club,21,38,23,0,1,2,4,1,0,0,0,0,0,0
570,Sergio Reguilon,DEF,Atletico Madrid,13,38,13,0,0,1,1,1,0,0,0,0,0,0
571,Abdessamad Ezzalzouli,FWD,Osasuna,64,38,44,4,2,1,2,2,0,0,0,0,6,0
572,El Bilal Toure,FWD,Almeria,71,38,35,7,2,0,0,0,0,0,0,0,2,0
573,Paulo Gazzaniga,GK,Girona,100,38,56,0,0,4,4,0,0,0,21,1,17,11
574,Oriol Romeu,MID,Girona,77,38,66,2,0,4,8,1,0,0,0,0,8,0
575,Alexander Sorloth,FWD,Real Sociedad,118,38,60,11,3,0,4,0,0,0,0,0,9,0
576,Kasper Dolberg,FWD,Sevilla,9,38,6,0,1,0,0,0,0,0,0,0,0,0
577,Alvaro Fernandez,GK,Espanyol,33,38,22,0,0,2,1,0,0,0,8,0,1,6
578,Omar El Hilali,DEF,Espanyol,3,38,5,0,0,0,1,0,0,0,0,0,0,1
579,Simo,MID,Espanyol,3,38,3,0,0,0,0,0,0,0,0,0,0,0
580,Andre Almeida,MID,Valencia,96,38,63,2,4,6,3,0,0,0,0,0,8,0
581,Ilaix Moriba,MID,Valencia,31,38,33,0,2,2,4,2,0,0,0,0,0,0
582,Kenedy,MID,Real Valladolid,11,38,11,0,1,0,3,0,0,0,0,0,0,0
583,Ivan Fresneda,DEF,Real Valladolid,41,38,41,0,0,3,3,0,0,0,0,0,0,9
584,Justin Kluivert,MID,Valencia,75,38,38,6,0,2,4,0,0,0,0,0,9,0
585,Kike Salas,DEF,Sevilla,16,38,9,1,1,0,1,1,0,0,0,0,3,1
586,Matija Nastasic,DEF,Mallorca,35,38,24,1,0,3,3,0,0,0,0,0,0,4
587,Nicolas Fernandez,MID,Elche,19,38,20,0,1,0,2,0,1,0,0,0,0,0
588,Lazaro,FWD,Almeria,51,38,23,6,0,0,1,0,0,0,0,0,5,0
589,Federico Fernandez,DEF,Elche,1,38,2,0,0,0,0,0,0,0,0,0,0,1
590,Gonzalo Melero,MID,Almeria,84,38,49,4,3,6,5,0,0,0,0,0,5,0
591,Zouhair Feddal,DEF,Real Valladolid,5,38,7,0,0,0,0,0,0,0,0,0,0,2
592,Lucas Rosa,DEF,Real Valladolid,27,38,26,0,1,1,3,0,0,0,0,0,0,3
593,Fernando Pacheco,GK,Almeria,58,38,34,0,0,3,0,0,0,0,13,1,7,13
594,Jordan Amavi,DEF,Celta Vigo,6,38,5,0,0,1,1,1,0,0,0,0,0,0
595,Adnan Januzaj,MID,Sevilla,2,38,2,0,0,0,0,0,0,0,0,0,0,0
596,Pablo Marin,MID,Real Sociedad,13,38,12,0,0,2,1,0,0,0,0,0,0,0
