,Name,Slug,Position,Team,Team Slug,Pts,GWs,Mins Pts,G,A,CS,YC,RC,OG,2GC,PenMiss,Saves Pts,PenSave,Bonus
403,Abderrahman Rebbach,abderrahman-rebbach,M,Deportivo Alavés,deportivo-alaves,1,1,1,0,0,0,0,0,0,0,0,0,0,0
404,Luis Rioja,luis-rioja,M,Deportivo Alavés,deportivo-alaves,2,1,2,0,0,0,0,0,0,1,0,0,0,0
405,Salva Sevilla,salva-sevilla,M,Deportivo Alavés,deportivo-alaves,0,1,0,0,0,0,0,0,0,0,0,0,0,0
406,Ander Guevara,ander-guevara,M,Deportivo Alavés,deportivo-alaves,2,1,2,0,0,0,0,0,0,1,0,0,0,0
407,Carlos Benavídez,carlos-benavidez,M,Deportivo Alavés,deportivo-alaves,1,1,1,0,0,0,0,0,0,0,0,0,0,0
408,Abdallahi Mahmoud,abdallahi-mahmoud,M,Deportivo Alavés,deportivo-alaves,0,1,0,0,0,0,0,0,0,0,0,0,0,0
409,Jon Guridi,jon-guridi,M,Deportivo Alavés,deportivo-alaves,2,1,2,0,0,0,0,0,0,1,0,0,0,0
410,Xeber Alkain,xeber-alkain,M,Deportivo Alavés,deportivo-alaves,0,1,0,0,0,0,0,0,0,0,0,0,0,0
411,Alex Balboa,alex-balboa,M,Deportivo Alavés,deportivo-alaves,0,1,0,0,0,0,0,0,0,0,0,0,0,0
412,Abdelkabir Abqar,abqar-abdelkabir,D,Deportivo Alavés,deportivo-alaves,0,1,0,0,0,0,0,0,0,0,0,0,0,0
413,Florian Lejeune,florian-lejeune,D,Rayo Vallecano,rayo-vallecano,1,1,2,0,0,0,0,0,0,1,0,0,0,0
414,Rubén Duarte,ruben-duarte,D,Deportivo Alavés,deportivo-alaves,1,1,2,0,0,0,0,0,0,1,0,0,0,0
415,Víctor Laguardia,victor-laguardia,D,Deportivo Alavés,deportivo-alaves,0,1,0,0,0,0,0,0,0,0,0,0,0,0
416,Nikola Maraš,nikola-maras,D,Deportivo Alavés,deportivo-alaves,0,1,0,0,0,0,0,0,0,0,0,0,0,0
417,Aleksandar Sedlar,aleksandar-sedlar,D,Deportivo Alavés,deportivo-alaves,0,1,0,0,0,0,0,0,0,0,0,0,0,0
418,Javi López,lopez-javi,D,Deportivo Alavés,deportivo-alaves,1,1,2,0,0,0,0,0,0,1,0,0,0,0
