,Name,Position,Team,Pts,GWs,Mins Pts,G,A,CS,YC,RC,OG,PenMiss,Saves Pts,PenSave,Bonus,2GC
497,Gabriel Paulista,DEF,Valencia,1,1,2,0,0,0,0,0,0,0,0,0,0,1
498,Jose Luis Gaya,DEF,Valencia,2,1,2,0,0,0,0,0,0,0,0,0,1,1
499,Yellu Santiago,MID,Valencia,0,1,0,0,0,0,0,0,0,0,0,0,0,0
500,Koba Koindredi,MID,Valencia,0,1,0,0,0,0,0,0,0,0,0,0,0,0
501,Hugo Guillamon,MID,Valencia,0,1,0,0,0,0,0,0,0,0,0,0,0,0
502,Uros Racic,MID,Valencia,0,1,0,0,0,0,0,0,0,0,0,0,0,0
503,Samu Castillejo,MID,Valencia,0,1,0,0,0,0,0,0,0,0,0,0,0,0
504,Yunus Musah,MID,Valencia,1,1,2,0,0,0,1,0,0,0,0,0,0,0
505,Carlos Soler,MID,Valencia,0,1,0,0,0,0,0,0,0,0,0,0,0,0
506,Manu Vallejo,FWD,Girona,1,1,1,0,0,0,0,0,0,0,0,0,0,0
507,Marcos Andre,FWD,Valencia,0,1,0,0,0,0,0,0,0,0,0,0,0,0
508,Samuel Lino,FWD,Valencia,2,1,2,0,0,0,0,0,0,0,0,0,0,0
509,Hugo Duro,FWD,Valencia,1,1,1,0,0,0,0,0,0,0,0,0,0,0
510,Maximiliano Gomez,FWD,Valencia,0,1,0,0,0,0,0,0,0,0,0,0,0,0
511,Pepe Reina,GK,Villareal,0,1,0,0,0,0,0,0,0,0,0,0,0,0
512,Geronimo Rulli,GK,Villareal,9,1,2,0,0,1,0,0,0,0,1,0,2,0
513,Sergio Carreira,DEF,Villareal,0,1,0,0,0,0,0,0,0,0,0,0,0,0
514,Adrian de la Fuente,DEF,Villareal,0,1,0,0,0,0,0,0,0,0,0,0,0,0
515,Kiko Femenia,DEF,Villareal,0,1,0,0,0,0,0,0,0,0,0,0,0,0
516,Alfonso Pedraza,DEF,Villareal,6,1,2,0,0,1,0,0,0,0,0,0,0,0
517,Jorge Cuenca,DEF,Villareal,0,1,0,0,0,0,0,0,0,0,0,0,0,0
518,Alberto Moreno,DEF,Villareal,0,1,0,0,0,0,0,0,0,0,0,0,0,0
519,Raul Albiol,DEF,Villareal,5,1,2,0,0,1,1,0,0,0,0,0,0,0
520,Pervis Estupinan,DEF,Villareal,0,1,0,0,0,0,0,0,0,0,0,0,0,0
521,Juan Foyth,DEF,Villareal,0,1,0,0,0,0,0,0,0,0,0,0,0,0
522,Pau Torres,DEF,Villareal,6,1,2,0,0,1,0,0,0,0,0,0,0,0
523,Aissa Mandi,DEF,Villareal,6,1,2,0,0,1,0,0,0,0,0,0,0,0
524,Alejandro Baena,MID,Villareal,6,1,2,0,0,1,0,0,0,0,0,0,3,0
525,Manuel Morlanes,MID,Villareal,0,1,0,0,0,0,0,0,0,0,0,0,0,0
526,Javier Ontiveros,MID,Villareal,0,1,0,0,0,0,0,0,0,0,0,0,0,0
527,Nicolas Jackson,MID,Villareal,6,1,2,0,1,1,0,0,0,0,0,0,0,0
528,Nikita Iosifov,MID,Villareal,0,1,0,0,0,0,0,0,0,0,0,0,0,0
529,Manu Trigueros,MID,Villareal,0,1,1,0,0,0,1,0,0,0,0,0,0,0
530,Francis Coquelin,MID,Villareal,0,1,0,0,0,0,0,0,0,0,0,0,0,0
531,Etienne Capoue,MID,Villareal,0,1,0,0,0,0,0,0,0,0,0,0,0,0
532,Yeremy Pino,MID,Villareal,3,1,2,0,0,1,0,0,0,0,0,0,0,0
533,Dani Parejo,MID,Villareal,3,1,2,0,0,1,0,0,0,0,0,0,0,0
534,Samuel Chukwueze,MID,Villareal,1,1,1,0,0,0,0,0,0,0,0,0,0,0
535,Fernando Nino,FWD,Villareal,0,1,0,0,0,0,0,0,0,0,0,0,0,0
536,Jose Luis Morales,FWD,Villareal,1,1,1,0,0,0,0,0,0,0,0,0,0,0
537,Paco Alcacer,FWD,Villareal,0,1,0,0,0,0,0,0,0,0,0,0,0,0
